time_iso8601,forks_cumulative
2025-07-19 00:00:00+00:00,1
2025-07-21 00:00:00+00:00,2
2025-07-22 00:00:00+00:00,4
2025-07-23 00:00:00+00:00,8
2025-07-24 00:00:00+00:00,12
2025-07-28 00:00:00+00:00,16
2025-07-29 00:00:00+00:00,17
2025-07-31 00:00:00+00:00,18
2025-08-06 00:00:00+00:00,19
2025-08-13 00:00:00+00:00,20
2025-08-14 00:00:00+00:00,21
2025-08-16 00:00:00+00:00,22
2025-08-19 00:00:00+00:00,24
2025-08-20 00:00:00+00:00,27
2025-08-21 00:00:00+00:00,31
2025-08-25 00:00:00+00:00,32
2025-08-31 00:00:00+00:00,33
2025-09-02 00:00:00+00:00,34
2025-09-04 00:00:00+00:00,35
2025-09-05 00:00:00+00:00,36
2025-09-10 00:00:00+00:00,39
2025-09-16 00:00:00+00:00,40
2025-09-17 00:00:00+00:00,41
2025-09-18 00:00:00+00:00,42
2025-09-19 00:00:00+00:00,43
2025-09-20 00:00:00+00:00,44
2025-09-23 00:00:00+00:00,45
2025-09-29 00:00:00+00:00,46
2025-10-06 00:00:00+00:00,47
2025-10-08 00:00:00+00:00,48
2025-10-10 00:00:00+00:00,49
2025-10-15 00:00:00+00:00,50
2025-10-25 00:00:00+00:00,51
2025-10-30 00:00:00+00:00,52
2025-11-07 00:00:00+00:00,53
2025-11-09 00:00:00+00:00,54
2025-11-10 00:00:00+00:00,55
2025-11-11 00:00:00+00:00,56
2025-11-15 00:00:00+00:00,57
2026-01-07 00:00:00+00:00,58
2026-01-25 00:00:00+00:00,59
2026-02-18 00:00:00+00:00,60
2026-02-23 00:00:00+00:00,61
2026-02-24 00:00:00+00:00,62
2026-02-25 00:00:00+00:00,63
2026-03-13 00:00:00+00:00,64
2026-03-16 00:00:00+00:00,65
