time_iso8601,stars_cumulative
2025-04-12 00:00:00+00:00,1
2025-04-14 00:00:00+00:00,2
2025-04-17 00:00:00+00:00,3
2025-04-25 00:00:00+00:00,4
2025-04-30 00:00:00+00:00,8
2025-05-04 00:00:00+00:00,9
2025-05-05 00:00:00+00:00,10
2025-05-16 00:00:00+00:00,14
2025-05-18 00:00:00+00:00,15
2025-05-20 00:00:00+00:00,16
2025-06-19 00:00:00+00:00,17
2025-06-26 00:00:00+00:00,31
2025-06-27 00:00:00+00:00,32
2025-06-30 00:00:00+00:00,35
2025-07-06 00:00:00+00:00,36
2025-07-19 00:00:00+00:00,37
2025-07-20 00:00:00+00:00,39
2025-07-22 00:00:00+00:00,40
2025-07-27 00:00:00+00:00,41
2025-07-28 00:00:00+00:00,42
2025-08-08 00:00:00+00:00,43
2025-08-11 00:00:00+00:00,85
2025-08-12 00:00:00+00:00,115
2025-08-13 00:00:00+00:00,174
2025-08-14 00:00:00+00:00,249
2025-08-15 00:00:00+00:00,319
2025-08-16 00:00:00+00:00,372
2025-08-17 00:00:00+00:00,456
2025-08-18 00:00:00+00:00,518
2025-08-19 00:00:00+00:00,641
2025-08-20 00:00:00+00:00,782
2025-08-21 00:00:00+00:00,993
2025-08-22 00:00:00+00:00,1490
2025-08-23 00:00:00+00:00,1608
2025-08-24 00:00:00+00:00,1733
2025-08-25 00:00:00+00:00,2016
2025-08-26 00:00:00+00:00,2028
2025-08-27 00:00:00+00:00,2036
2025-08-29 00:00:00+00:00,2038
2025-08-30 00:00:00+00:00,2042
2025-09-01 00:00:00+00:00,2046
2025-09-02 00:00:00+00:00,2047
2025-09-03 00:00:00+00:00,2048
2025-09-04 00:00:00+00:00,2049
2025-09-08 00:00:00+00:00,2050
2025-09-10 00:00:00+00:00,2051
2025-09-12 00:00:00+00:00,2052
2025-09-13 00:00:00+00:00,2054
2025-09-14 00:00:00+00:00,2055
2025-09-24 00:00:00+00:00,2056
2025-10-07 00:00:00+00:00,2059
2025-10-08 00:00:00+00:00,2060
2025-10-13 00:00:00+00:00,2061
2025-10-15 00:00:00+00:00,2063
2025-10-19 00:00:00+00:00,2065
2025-10-22 00:00:00+00:00,2066
2025-10-27 00:00:00+00:00,2067
2025-11-01 00:00:00+00:00,2068
2025-11-05 00:00:00+00:00,2069
2025-11-09 00:00:00+00:00,2070
2025-11-10 00:00:00+00:00,2073
2025-11-12 00:00:00+00:00,2075
2025-11-13 00:00:00+00:00,2076
2025-11-14 00:00:00+00:00,2077
2025-12-15 00:00:00+00:00,2078
2025-12-19 00:00:00+00:00,2079
2025-12-21 00:00:00+00:00,2089
2025-12-22 00:00:00+00:00,2092
2025-12-25 00:00:00+00:00,2093
2026-01-06 00:00:00+00:00,2094
2026-01-07 00:00:00+00:00,2095
2026-01-17 00:00:00+00:00,2096
2026-01-23 00:00:00+00:00,2098
2026-01-26 00:00:00+00:00,2099
2026-02-18 00:00:00+00:00,2100
2026-02-19 00:00:00+00:00,2101
2026-02-24 00:00:00+00:00,2102
2026-02-25 00:00:00+00:00,2103
2026-03-13 00:00:00+00:00,2104
