time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-06 00:00:00+00:00,12,6,106,15
2026-03-07 00:00:00+00:00,8,5,100,16
2026-03-08 00:00:00+00:00,4,2,40,10
2026-03-09 00:00:00+00:00,10,8,52,13
2026-03-10 00:00:00+00:00,205,13,73,14
2026-03-11 00:00:00+00:00,90,9,75,15
2026-03-12 00:00:00+00:00,21,4,39,12
2026-03-13 00:00:00+00:00,83,12,75,9
2026-03-14 00:00:00+00:00,39,9,38,11
2026-03-15 00:00:00+00:00,72,12,195,4
2026-03-16 00:00:00+00:00,493,47,316,11
2026-03-17 00:00:00+00:00,303,35,207,11
2026-03-18 00:00:00+00:00,109,15,88,9
2026-03-19 00:00:00+00:00,105,13,54,7
